Date,Regular pay (real),CPIH,Private sector,Public sector,Public - Private Difference 
2012-01-01,-2.1,3.2,1.8,1.3,0.5
2012-02-01,-1.4,3.1,1.8,1.1,0.7
2012-03-01,-1.1,3.1,1.8,1,0.8
2012-04-01,-1.1,2.8,2,1.3,0.7
2012-05-01,-0.8,2.5,2,1.4,0.6
2012-06-01,-0.4,2.3,2,1.7,0.3
2012-07-01,-0.5,2.4,2,2.1,-0.1
2012-08-01,-0.2,2.3,2,2.7,-0.7
2012-09-01,-0.5,2.1,1.8,2.7,-0.9
2012-10-01,-1.1,2.4,1.7,2.4,-0.7
2012-11-01,-1,2.4,1.5,2,-0.5
2012-12-01,-1.2,2.4,1.3,1.8,-0.5
2013-01-01,-1.4,2.4,1.2,1.9,-0.7
2013-02-01,-1.7,2.5,1,1.7,-0.7
2013-03-01,-1.8,2.5,0.8,1.5,-0.7
2013-04-01,-1.1,2.2,0.9,1.3,-0.4
2013-05-01,-1.4,2.4,1,1.3,-0.3
2013-06-01,-1.7,2.6,1.1,1.1,0
2013-07-01,-1.4,2.5,1.1,0.7,0.4
2013-08-01,-1.9,2.4,1,0,1
2013-09-01,-1.7,2.4,1,-0.1,1.1
2013-10-01,-1.1,2,1,0,1
2013-11-01,-1.3,1.9,1,0.3,0.7
2013-12-01,-0.7,1.9,1.2,0.6,0.6
2014-01-01,-0.1,1.8,1.4,0.7,0.7
2014-02-01,-0.6,1.6,1.6,0.9,0.7
2014-03-01,-0.8,1.5,1.4,1.1,0.3
2014-04-01,-1.2,1.7,0.9,1,-0.1
2014-05-01,-0.9,1.5,0.8,0.7,0.1
2014-06-01,-1.1,1.8,0.8,0.5,0.3
2014-07-01,-1,1.6,0.9,0.6,0.3
2014-08-01,-0.5,1.5,1,0.8,0.2
2014-09-01,0.4,1.3,1.4,0.9,0.5
2014-10-01,0.4,1.3,1.9,0.9,1
2014-11-01,0.5,1.1,2.1,0.8,1.3
2014-12-01,0.7,0.7,2,0.7,1.3
2015-01-01,1,0.5,1.9,0.8,1.1
2015-02-01,1.8,0.4,2.1,0.9,1.2
2015-03-01,2.5,0.3,2.7,0.8,1.9
2015-04-01,2.4,0.3,3.1,1,2.1
2015-05-01,2.2,0.4,3.3,1.1,2.2
2015-06-01,2.4,0.3,3.2,1.3,1.9
2015-07-01,2.5,0.5,3.3,1.2,2.1
2015-08-01,2.2,0.4,3.2,1.2,2
2015-09-01,1.6,0.2,2.8,1.3,1.5
2015-10-01,1.4,0.2,2.2,1.3,0.9
2015-11-01,1.7,0.4,2,1.5,0.5
2015-12-01,1.5,0.5,2.2,1.4,0.8
2016-01-01,1.6,0.6,2.4,1.4,1
2016-02-01,1.8,0.6,2.5,1.3,1.2
2016-03-01,1.4,0.8,2.5,1.5,1
2016-04-01,1.6,0.7,2.5,1.6,0.9
2016-05-01,1.3,0.7,2.4,1.6,0.8
2016-06-01,1.4,0.8,2.5,1.7,0.8
2016-07-01,1.3,0.9,2.4,1.6,0.8
2016-08-01,1.4,1,2.4,1.7,0.7
2016-09-01,1.3,1.3,2.6,1.5,1.1
2016-10-01,1.3,1.3,2.8,1.5,1.3
2016-11-01,1.2,1.5,2.9,1.4,1.5
2016-12-01,0.5,1.8,2.8,1.4,1.4
2017-01-01,0.1,1.9,2.5,1.4,1.1
2017-02-01,-0.6,2.3,2.2,1.4,0.8
2017-03-01,-0.5,2.3,2,1.3,0.7
2017-04-01,-0.7,2.6,2,1.2,0.8
2017-05-01,-0.3,2.7,2.2,1.4,0.8
2017-06-01,-0.3,2.6,2.3,1.4,0.9
2017-07-01,-0.5,2.6,2.3,1.7,0.6
2017-08-01,-0.4,2.7,2.3,1.6,0.7
2017-09-01,-0.4,2.8,2.4,1.7,0.7
2017-10-01,-0.4,2.8,2.5,1.9,0.6
2017-11-01,-0.6,2.8,2.4,1.9,0.5
2017-12-01,0,2.7,2.6,2,0.6
2018-01-01,0,2.7,2.7,2,0.7
2018-02-01,0.4,2.5,2.9,2.3,0.6
2018-03-01,0.7,2.3,3,2.5,0.5
2018-04-01,0.4,2.2,3,2.5,0.5
2018-05-01,0.3,2.3,2.9,2.3,0.6
2018-06-01,0.5,2.3,2.8,2.3,0.5
2018-07-01,0.8,2.3,3,2.5,0.5
2018-08-01,0.9,2.4,3.2,2.7,0.5
2018-09-01,0.9,2.2,3.3,2.8,0.5
2018-10-01,1.2,2.2,3.4,2.7,0.7
2018-11-01,1.2,2.2,3.4,2.9,0.5
2018-12-01,1.2,2,3.5,2.8,0.7
2019-01-01,1.8,1.8,3.6,2.9,0.7
2019-02-01,1.4,1.8,3.6,2.6,1
2019-03-01,1.3,1.8,3.6,2.4,1.2
2019-04-01,2,2,3.6,2.9,0.7
2019-05-01,1.9,1.9,3.7,3.5,0.2
2019-06-01,2.1,1.9,4,3.9,0.1
2019-07-01,1.8,2,4,3.5,0.5
2019-08-01,1.8,1.7,3.9,3.3,0.6
2019-09-01,1.9,1.7,3.7,3.2,0.5
2019-10-01,1.6,1.5,3.5,3.3,0.2
2019-11-01,1.7,1.5,3.3,3.4,-0.1
2019-12-01,1.8,1.4,3.1,3.3,-0.2
2020-01-01,0.9,1.8,3,3.2,-0.2
2020-02-01,1.2,1.7,2.8,3.2,-0.4
2020-03-01,0.9,1.5,2.5,3.3,-0.8
2020-04-01,-0.9,0.9,1.3,3.3,-2
2020-05-01,-0.8,0.7,-0.1,3.8,-3.9
2020-06-01,-0.9,0.8,-1.2,4.1,-5.3
2020-07-01,-0.1,1.1,-0.8,4.4,-5.2
2020-08-01,1.5,0.5,0.1,4.1,-4
2020-09-01,2.1,0.7,1.4,4.1,-2.7
2020-10-01,2.8,0.9,2.5,4.1,-1.6
2020-11-01,3.6,0.6,3.4,4.2,-0.8
2020-12-01,3.5,0.8,3.9,4.2,-0.3
2021-01-01,3.3,0.9,4,4.7,-0.7
2021-02-01,3.6,0.7,4.1,5.2,-1.1
2021-03-01,3.8,1,4.3,5.5,-1.2
2021-04-01,5.9,1.6,5.8,4.9,0.9
2021-05-01,5.2,2.1,7.2,3.7,3.5
2021-06-01,4.7,2.4,8.3,2.8,5.5
2021-07-01,3.8,2.1,7.8,2.5,5.3
2021-08-01,1.8,3,6.7,2.7,4
2021-09-01,1.1,2.9,5.5,2.6,2.9
2021-10-01,0,3.8,4.7,2.7,2
2021-11-01,-1,4.6,4.1,2.6,1.5
2021-12-01,-1.1,4.8,3.9,2.7,1.2
