YEAR,STATE,Renewables 
1994,MS,6.143199884
1994,MT,32.79991066
1994,NC,8.880602819
1994,ND,6.41396359
1994,NE,6.010131132
1994,NH,18.88158357
1994,NJ,2.375259371
1994,NM,0.736054752
1994,NV,13.74849716
1994,NY,24.04103459
1994,OH,0.53233666
1994,OK,5.565536046
1994,OR,82.63135024
1994,PA,2.655606527
1994,RI,1.796607591
1994,SC,6.146771483
1994,SD,64.17961623
1994,TN,16.02850947
1994,TX,1.012183367
1994,US-TOTAL,10.36669916
1994,UT,2.685588141
1994,VA,5.152429368
1994,VT,22.9538742
1994,WA,75.42793666
1994,WI,6.358318267
1994,WV,1.406903406
1994,WY,2.129303129
1995,AK,24.84268474
1995,AL,12.6509385
1995,AR,11.38482317
1995,AZ,12.00792096
1995,CA,37.71731173
1995,CO,6.075988383
1995,CT,7.243289595
1995,DC,0
1995,DE,0
1995,FL,3.470907503
1995,GA,6.88589236
1995,HI,9.630819462
1995,IA,3.071695139
1995,ID,97.41939052
1995,IL,0.314456818
1995,IN,0.505328818
1995,KS,0.029255087
1995,KY,3.978068524
1995,LA,4.254460433
1995,MA,7.675237908
1995,MD,4.568775203
1995,ME,71.49549869
1995,MI,3.797832134
1995,MN,5.176438433
1995,MO,2.95793771
1995,MS,6.499592955
1995,MT,41.60689633
1995,NC,6.794048047
1995,ND,8.548265363
1995,NE,5.699924519
1995,NH,15.68871025
1995,NJ,2.733586884
1995,NM,0.915059988
1995,NV,14.58533999
1995,NY,21.38373316
1995,OH,0.540009279
1995,OK,5.824813683
1995,OR,91.35989126
1995,PA,2.423576828
1995,RI,1.980699223
1995,SC,6.308331322
1995,SD,68.20258942
1995,TN,11.96919872
1995,TX,0.980918644
1995,US-TOTAL,11.47456637
1995,UT,3.378766392
1995,VA,4.912419784
1995,VT,24.8345078
1995,WA,81.93268773
1995,WI,6.427184281
1995,WV,1.480900302
1995,WY,1.983779083
1996,AK,22.52873766
1996,AL,12.48609083
1996,AR,9.516499951
1996,AZ,12.96647072
1996,CA,37.62955971
1996,CO,4.990801715
1996,CT,13.35282201
1996,DC,0
1996,DE,0
1996,FL,3.629537854
1996,GA,7.480808026
1996,HI,9.045150432
1996,IA,2.89767118
1996,ID,97.90770747
1996,IL,0.384188968
1996,IN,0.502729238
1996,KS,0.027462213
1996,KY,3.964228676
1996,LA,4.975162303
1996,MA,8.590586716
1996,MD,6.895475764
1996,ME,51.51343146
1996,MI,4.031581207
1996,MN,5.351641189
1996,MO,1.981065647
1996,MS,5.191179976
1996,MT,51.59830349
