quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,itemName
201701,220319,5.424297,5.7,5.2,4.75,348,2017-01-01,01/01/2017,115625,2017,1,1,Chinese
201701,220318,6.991626,7.95,6.9,5.95,348,2017-01-01,01/01/2017,115625,2017,1,1,Indian
201702,220318,7.097438,7.95,6.95,5.99,349,2017-02-01,01/02/2017,114063,2017,2,1,Indian
201702,220301,5.76336,6.5,5.8,5.2,349,2017-02-01,01/02/2017,114063,2017,2,1,Fish and Chips
201702,220319,5.42912,5.9,5.2,4.8,349,2017-02-01,01/02/2017,114063,2017,2,1,Chinese
201702,220316,8.19888,9.99,7.87,5.5,349,2017-02-01,01/02/2017,114063,2017,2,1,Pizza
201703,220318,7.107603,7.95,6.95,5.99,350,2017-03-01,01/03/2017,115516,2017,3,1,Indian
201703,220301,5.788797,6.5,5.8,5.2,350,2017-03-01,01/03/2017,115516,2017,3,1,Fish and Chips
201703,220316,8.228824,9.99,7.95,5.5,350,2017-03-01,01/03/2017,115516,2017,3,1,Pizza
201703,220319,5.445659,5.9,5.2,4.8,350,2017-03-01,01/03/2017,115516,2017,3,1,Chinese
201704,220301,5.819851,6.5,5.8,5.2,351,2017-04-01,01/04/2017,116889,2017,4,2,Fish and Chips
201704,220318,7.0375,7.875,6.925,5.99,351,2017-04-01,01/04/2017,116889,2017,4,2,Indian
201704,220316,8.275481,9.99,7.99,5.5,351,2017-04-01,01/04/2017,116889,2017,4,2,Pizza
201704,220319,5.430781,5.8,5.2,4.8,351,2017-04-01,01/04/2017,116889,2017,4,2,Chinese
201705,220319,5.462424,5.85,5.2,4.8,352,2017-05-01,01/05/2017,117233,2017,5,2,Chinese
201705,220316,8.243037,9.99,7.95,5.5,352,2017-05-01,01/05/2017,117233,2017,5,2,Pizza
201705,220318,7.129167,7.95,6.95,5.99,352,2017-05-01,01/05/2017,117233,2017,5,2,Indian
201705,220301,5.853759,6.55,5.8,5.2,352,2017-05-01,01/05/2017,117233,2017,5,2,Fish and Chips
201706,220319,5.453437,5.95,5.2,4.8,353,2017-06-01,01/06/2017,117390,2017,6,2,Chinese
201706,220316,8.218382,9.99,7.95,5.5,353,2017-06-01,01/06/2017,117390,2017,6,2,Pizza
201706,220318,7.136724,7.95,6.95,5.99,353,2017-06-01,01/06/2017,117390,2017,6,2,Indian
201706,220301,5.864599,6.55,5.8,5.2,353,2017-06-01,01/06/2017,117390,2017,6,2,Fish and Chips
201707,220301,5.891791,6.55,5.825,5.2,354,2017-07-01,01/07/2017,117692,2017,7,3,Fish and Chips
201707,220316,8.176838,9.99,7.95,5.5,354,2017-07-01,01/07/2017,117692,2017,7,3,Pizza
201707,220318,7.146435,7.95,6.95,5.99,354,2017-07-01,01/07/2017,117692,2017,7,3,Indian
201707,220319,5.48432,5.9,5.2,4.8,354,2017-07-01,01/07/2017,117692,2017,7,3,Chinese
201708,220301,5.886466,6.55,5.8,5.2,355,2017-08-01,01/08/2017,117018,2017,8,3,Fish and Chips
201708,220319,5.47392,6,5.2,4.8,355,2017-08-01,01/08/2017,117018,2017,8,3,Chinese
201708,220318,7.157851,7.95,6.95,6,355,2017-08-01,01/08/2017,117018,2017,8,3,Indian
201708,220316,8.315833,9.99,7.97,5.65,355,2017-08-01,01/08/2017,117018,2017,8,3,Pizza
201709,220301,5.928148,6.6,5.85,5.2,356,2017-09-01,01/09/2017,117013,2017,9,3,Fish and Chips
201709,220319,5.495692,6,5.25,4.8,356,2017-09-01,01/09/2017,117013,2017,9,3,Chinese
201709,220316,8.386791,9.99,7.99,5.8,356,2017-09-01,01/09/2017,117013,2017,9,3,Pizza
201709,220318,7.25157,8,6.95,6.12,356,2017-09-01,01/09/2017,117013,2017,9,3,Indian
201710,220301,5.955185,6.7,5.9,5.3,357,2017-10-01,01/10/2017,116488,2017,10,4,Fish and Chips
201710,220316,8.283106,9.99,7.99,5.75,357,2017-10-01,01/10/2017,116488,2017,10,4,Pizza
201710,220319,5.515039,6,5.2,4.8,357,2017-10-01,01/10/2017,116488,2017,10,4,Chinese
201710,220318,7.217295,8,6.95,6.1,357,2017-10-01,01/10/2017,116488,2017,10,4,Indian
201711,220301,5.97594,6.6,6,5.4,358,2017-11-01,01/11/2017,116285,2017,11,4,Fish and Chips
201711,220319,5.555781,6,5.35,4.85,358,2017-11-01,01/11/2017,116285,2017,11,4,Chinese
201711,220316,8.283283,9.99,7.99,5.9,358,2017-11-01,01/11/2017,116285,2017,11,4,Pizza
201711,220318,7.257097,8.05,6.95,6.11,358,2017-11-01,01/11/2017,116285,2017,11,4,Indian
201712,220301,6.051562,6.7,6,5.5,359,2017-12-01,01/12/2017,117146,2017,12,4,Fish and Chips
201712,220319,5.560661,6,5.3,4.9,359,2017-12-01,01/12/2017,117146,2017,12,4,Chinese
201712,220318,7.27748,8,6.95,6.12,359,2017-12-01,01/12/2017,117146,2017,12,4,Indian
201712,220316,8.252814,9.99,8.25,5.5,359,2017-12-01,01/12/2017,117146,2017,12,4,Pizza
201801,220301,6.020523,6.7,6,5.5,360,2018-01-01,01/01/2018,116458,2018,1,1,Fish and Chips
201801,220319,5.590163,6,5.4,4.9,360,2018-01-01,01/01/2018,116458,2018,1,1,Chinese
201801,220318,7.270244,7.95,6.95,6.25,360,2018-01-01,01/01/2018,116458,2018,1,1,Indian
201801,220316,8.315833,9.99,8.25,5.6,360,2018-01-01,01/01/2018,116458,2018,1,1,Pizza
201802,220316,8.10904,9.99,7.99,5.9,361,2018-02-01,01/02/2018,122581,2018,2,1,Pizza
201802,220319,5.558049,5.9,5.3,4.8,361,2018-02-01,01/02/2018,122581,2018,2,1,Chinese
201802,220301,6.031615,6.7,6.05,5.4,361,2018-02-01,01/02/2018,122581,2018,2,1,Fish and Chips
201802,220318,7.245555,8,6.95,6.25,361,2018-02-01,01/02/2018,122581,2018,2,1,Indian
201803,220301,6.029924,6.725,6,5.425,362,2018-03-01,01/03/2018,125211,2018,3,1,Fish and Chips
201803,220318,7.274524,8.05,6.95,6.25,362,2018-03-01,01/03/2018,125211,2018,3,1,Indian
201803,220319,5.587132,5.9,5.3,4.9,362,2018-03-01,01/03/2018,125211,2018,3,1,Chinese
201803,220316,8.095789,9.99,7.95,5.9,362,2018-03-01,01/03/2018,125211,2018,3,1,Pizza
201804,220301,6.045489,6.7,6.05,5.4,363,2018-04-01,01/04/2018,126219,2018,4,2,Fish and Chips
201804,220316,8.101526,9.99,7.95,5.9,363,2018-04-01,01/04/2018,126219,2018,4,2,Pizza
201804,220318,7.221667,7.95,6.95,6.25,363,2018-04-01,01/04/2018,126219,2018,4,2,Indian
201804,220319,5.60189,5.9,5.3,4.9,363,2018-04-01,01/04/2018,126219,2018,4,2,Chinese
201805,220301,6.082443,6.8,6.1,5.5,364,2018-05-01,01/05/2018,126941,2018,5,2,Fish and Chips
201805,220316,8.100154,9.99,7.97,5.7,364,2018-05-01,01/05/2018,126941,2018,5,2,Pizza
201805,220318,7.211587,8,6.95,6.25,364,2018-05-01,01/05/2018,126941,2018,5,2,Indian
201805,220319,5.598421,5.9,5.35,4.9,364,2018-05-01,01/05/2018,126941,2018,5,2,Chinese
201806,220319,5.596947,5.9,5.4,4.8,365,2018-06-01,01/06/2018,126695,2018,6,2,Chinese
201806,220318,7.24544,7.95,6.95,6.25,365,2018-06-01,01/06/2018,126695,2018,6,2,Indian
201806,220316,7.998496,9.95,7.9,5.6,365,2018-06-01,01/06/2018,126695,2018,6,2,Pizza
201806,220301,6.097368,6.8,6.15,5.5,365,2018-06-01,01/06/2018,126695,2018,6,2,Fish and Chips
201807,220301,6.108582,6.8,6.2,5.5,366,2018-07-01,01/07/2018,124520,2018,7,3,Fish and Chips
201807,220316,8.101751,9.99,7.9,5.5,366,2018-07-01,01/07/2018,124520,2018,7,3,Pizza
201807,220319,5.6416,6,5.4,4.9,366,2018-07-01,01/07/2018,124520,2018,7,3,Chinese
201807,220318,7.24808,8,6.95,6.2,366,2018-07-01,01/07/2018,124520,2018,7,3,Indian
201808,220319,5.660435,6,5.5,4.9,367,2018-08-01,01/08/2018,124079,2018,8,3,Chinese
201808,220316,8.199161,9.99,8,5.6,367,2018-08-01,01/08/2018,124079,2018,8,3,Pizza
201808,220301,6.117634,6.8,6.2,5.5,367,2018-08-01,01/08/2018,124079,2018,8,3,Fish and Chips
201808,220318,7.291736,8,6.95,6.25,367,2018-08-01,01/08/2018,124079,2018,8,3,Indian
201809,220301,6.174135,6.85,6.3,5.5,368,2018-09-01,01/09/2018,124265,2018,9,3,Fish and Chips
201809,220316,8.195267,9.99,7.99,5.6,368,2018-09-01,01/09/2018,124265,2018,9,3,Pizza
201809,220319,5.653731,6,5.5,4.9,368,2018-09-01,01/09/2018,124265,2018,9,3,Chinese
201809,220318,7.390082,8.46,6.95,6.4,368,2018-09-01,01/09/2018,124265,2018,9,3,Indian
201810,220316,8.225801,9.99,8,5.7,369,2018-10-01,01/10/2018,124191,2018,10,4,Pizza
201810,220301,6.213712,6.875,6.3,5.5,369,2018-10-01,01/10/2018,124191,2018,10,4,Fish and Chips
201810,220319,5.659328,6,5.5,4.9,369,2018-10-01,01/10/2018,124191,2018,10,4,Chinese
201810,220318,7.321901,8,6.95,6.25,369,2018-10-01,01/10/2018,124191,2018,10,4,Indian
201811,220301,6.280077,7,6.375,5.55,370,2018-11-01,01/11/2018,123289,2018,11,4,Fish and Chips
201811,220316,8.234285,9.99,7.99,5.9,370,2018-11-01,01/11/2018,123289,2018,11,4,Pizza
201811,220319,5.665892,6,5.5,4.9,370,2018-11-01,01/11/2018,123289,2018,11,4,Chinese
201811,220318,7.34641,8,6.95,6.25,370,2018-11-01,01/11/2018,123289,2018,11,4,Indian
201812,220319,5.664567,6,5.5,4.9,371,2018-12-01,01/12/2018,125381,2018,12,4,Chinese
201812,220301,6.301077,7,6.375,5.5,371,2018-12-01,01/12/2018,125381,2018,12,4,Fish and Chips
201812,220316,8.263409,9.99,7.99,5.85,371,2018-12-01,01/12/2018,125381,2018,12,4,Pizza
201812,220318,7.417541,8.46,6.95,6.3,371,2018-12-01,01/12/2018,125381,2018,12,4,Indian
201901,220316,8.308731,9.99,7.895,5.8,372,2019-01-01,01/01/2019,125531,2019,1,1,Pizza
