YEAR,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Total,Wind,Wood and Wood Derived Fuels,Total Renewables ,Including Nuclear
1990,OK,54.49409633,0,5.80000935,38.73641168,0,0,0.003780868,0.188979699,0.163441844,0.041980384,0,100,0,0.57129984,6.375090058,6.375090058
1990,OR,2.615218431,0,81.87122565,1.626546814,12.05782487,0,0.179636655,0,0.980174898,0,0,100,0.001070034,1.593334074,83.64526641,95.70309128
1990,PA,60.74202473,0,1.633719342,1.61361381,32.90397537,0.000416801,0.170882213,0.479209733,2.650287125,-0.500644815,0,100,0,0.306515688,2.111117243,35.01509261
1990,RI,0,0,0.898207919,79.1953697,0,0,3.138760751,0,23.57622201,0,0,100,0,0,4.03696867,4.03696867
1990,SC,32.80665039,0,4.621523701,1.103559379,60.08795096,0,0.069448985,0,0.241826408,-0.709594279,0,100,0,1.778634454,6.46960714,66.5575581
1990,SD,38.46790177,0,61.21226803,0.193046319,0,0,0,0,3.635576812,0,0,100,0,0,61.21226803,61.21226803
1990,TN,68.02366773,0,13.14565863,0.294202696,18.37909233,0.059064723,0.058958406,0.005525833,0.179907208,-0.627596805,0,100,0,0.481519245,13.68613628,32.06522861
1990,TX,42.94699274,0,0.637032009,48.38560222,5.632646171,0.173579924,0.118316676,1.064608924,0.490336337,0,0.000136738,100,0,0.391913777,1.1473992,6.780045371
1990,US-TOTAL,52.4720895,0.508069396,9.640635017,12.27078147,18.98928458,0.119021346,0.436508647,0.341784731,4.162850221,-0.115468742,0.012083867,100,0.091795869,1.070564104,11.7596569,30.74894148
1990,UT,96.80436147,0.466242321,1.561387416,0.449852825,0,0,0,0.558922665,4.569227068,0,0,100,0,0,2.027629737,2.027629737
1990,VA,45.46779879,0,2.491225154,2.158890329,45.31608031,0,1.181014746,0,2.736191059,-1.585993715,6.47E-05,100,0,2.234728645,5.907033245,51.22311356
1990,VT,0,0,26.43304516,1.264129255,70.02696303,0,0,0,0.882808323,0,0,100,0,2.226618808,28.65966397,98.686627
1990,WA,7.240293922,0,85.69157867,0.282211888,5.625493055,0.003673894,0.006367103,0.008288305,0.042108704,0,0,100,0,1.099984459,86.79793023,92.42342329
1990,WI,69.43632962,0,4.216998535,0.726841758,23.50048485,0,0.313530634,0,199.2571866,0,0,100,9.21E-05,1.430044684,5.960665953,29.4611508
1990,WV,97.61605623,0,1.628185095,0.113230471,0,0.014089847,0,0.218987929,0.409450424,0,0,100,0,0,1.628185095,1.628185095
1990,WY,97.33208522,0,1.61254175,0.670924915,0,0.113561075,0,0.02161853,1.48234844,0,0,100,0,0.126178972,1.738720722,1.738720722
1991,AK,9.657339715,0,16.62600365,61.5862881,0,0,0,0,9.525814182,0,0,100,0,2.604554357,19.23055801,19.23055801
1991,AL,65.57615015,0,12.11637966,1.376896778,17.87953909,0,0.035286852,0.330236725,5.047511403,0,0,100,0,2.49649125,14.64815776,32.52769685
1991,AR,48.32499591,0,8.725356597,8.179051052,31.14736907,0,0.040867138,0,0.167908761,0.034692665,0,100,0,3.379758809,12.14598254,43.29335161
1991,AZ,48.44719064,0,10.02274452,3.312951617,37.34348715,0,0,0,0.158634092,0.540027119,0,100,0,0.158904682,10.1816492,47.52513635
1991,CA,1.656154798,9.301676838,13.81402311,46.56008675,19.84414402,0.003216153,1.554851628,1.244688487,1.239476708,0.06282572,0.296551112,100,1.833625817,2.588678856,29.38940736,49.23355138
1991,CO,90.13791492,0,5.551366234,4.067500633,0,0,0.182020731,0,2.411798536,-0.056092532,0,100,0,0,5.733386965,5.733386965
1991,CT,13.43898594,0,1.602790779,5.813836549,45.28295431,0,4.300195732,0.009786782,29.56460251,-0.013152606,0,100,0,0,5.902986511,51.18594082
1991,DC,0,0,0,0,0,0,0,0,16.19601598,0,0,100,0,0,0,0
1991,DE,61.50392721,0,0,14.16454839,0,0.080567666,0,0,24.25095673,0,0,100,0,0,0,0
1991,FL,44.48067476,0,0.188690466,14.17248548,14.70955102,1.375401334,1.620926459,0.007382187,3778.584412,0,0,100,0,1.496325881,3.305942806,18.01549383
1991,GA,63.46270665,0,4.400457754,0.842050156,27.05123846,0.00044815,0.0684058,0,0.562560452,0.449492489,0,100,0,3.162640093,7.631503647,34.68274211
1991,HI,0.087461731,0,0.815650732,0,0,0,9.457196089,0.591492704,1988.240585,0,0,100,0.409284594,0,10.68213142,10.68213142
1991,IA,82.92082065,0,2.792596446,1.202447414,12.85121329,0,0.078303932,0,0.154618268,0,0,100,0,0,2.870900378,15.72211367
1991,ID,0.17350367,0,92.75249111,1.137420019,0,0.657020927,0.103769173,0,0.020796488,0,0,100,0,5.171966329,98.02822661,98.02822661
1991,IL,42.2647836,0,0.103210651,1.332472637,55.16519081,0,0.139747392,0.295822635,0.698610306,0,0,100,0,0.000161966,0.243120009,55.40831082
1991,IN,95.56382195,0,0.391298212,1.426485066,0,0,0.032470659,2.066855414,16.21032917,0,0,100,0,0,0.423768871,0.423768871
1991,KS,71.81879984,0,0.032383572,10.00752266,17.95427398,0,0,0,0.186891239,0,0,100,0.000128713,0,0.032512285,17.98678627
1991,KY,94.97884123,0,4.844443515,0.028966263,0,0,0,0,0.306786654,0,0,100,0,0,4.844443515,4.844443515
1991,LA,25.30051708,0,0.875641482,48.50216732,18.61503894,2.111506119,0.12225918,1.274597406,0.074373746,0,0,100,0,3.123898724,4.121799386,22.73683833
1991,MA,29.21904941,0,2.718027013,15.43123903,10.76702463,0,3.985030055,0.001950278,1064.923824,-1.517511389,0,100,0,0,6.703057068,17.4700817
1991,MD,57.3027966,0,3.531382139,3.807852794,22.67477931,0,0.844525808,1.201238095,10.23441789,0,0,100,0,0.403007371,4.778915318,27.45369463
1991,ME,4.946501781,0,22.00794902,0.283088004,36.1167159,0,2.216337904,0,25.32285267,0,0,100,0,22.02101347,46.24530039,82.36201629
1991,MI,63.10568679,0,1.652858094,8.019653188,25.49697332,0.026629081,0.476492677,0.205541476,0.621417869,-0.750895534,0,100,0,1.145643039,3.27499381,28.77196713
1991,MN,63.5710222,0,2.461524002,1.908140846,28.62200588,0,1.043885531,0,53.40315334,0,0,100,0.000562516,1.007462005,4.513434054,33.13543993
