Year,State,Percentage Coal,Percentage Geothermal,Percentage Hydro,Percentage Natural Gas,Percentage Nuclear,Percentage Other,Percentage Other Biomass,Percentage Other Gases,Percentage Petroleum,Percentage Solar,Percentage Total,Percentage Wind,Percentage Wood Fuels,Percentage Total Renewable,Percentage Renewable Including Nuclear,co2 per cap
1990,AK,9.1181793536787,0.0,17.403695968894397,61.90297858418224,0.0,0.0,0.0,0.0,8.87785458217207,0.0,100.0,0.0,2.697291511072584,20.100987479966985,20.100987479966985,61.4
1990,AL,67.3655719929057,0.0,13.014726171865354,1.28146474118904,15.13064565389605,0.0,0.059638076484405,0.3383161126394443,0.1733650999653706,0.0,100.0,0.0,2.6362721510546363,15.710636399404397,30.841282053300446,27.1
1990,AR,49.12565852978846,0.0,9.34703471887358,9.152454713217256,28.854652162919937,0.0,0.0393584609233066,0.0,0.2045519751891055,0.0,100.0,0.0,3.1663854958304176,12.552778675627303,41.40743083854724,21.5
1990,AZ,50.84184375652985,0.0,11.816262952335412,3.7179229581814353,32.81229736431776,0.0,0.0,0.0,0.2419254492009683,0.0,100.0,0.0,0.171866520464578,11.98812947279999,44.80042683711775,17.1
1990,CA,1.5910235834553552,8.759092783288255,14.351467297907073,44.73767150905152,19.72001384034297,0.0,1.2775077133226886,1.2948959063577976,3.3017794158815748,0.2211709148991359,100.0,1.6641327709749505,2.4863457264376216,28.759717206829727,48.4797310471727,12.0
1990,CO,91.60276104366926,0.0,4.362370836269626,3.963644359627821,0.0,0.0,0.089068105209249,0.0,0.0841523077503046,0.0,100.0,0.0,0.0,4.451438941478876,4.451438941478876,20.1
1990,CT,10.227387083830491,0.0,1.62350980149313,3.5606743253603903,56.26685356039408,0.0,3.053752687941676,1.138069220613495e-05,25.249391509952403,0.0,100.0,0.0,0.0,4.677262489434805,60.94411604982888,12.3
1990,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,7.3
1990,DE,65.21046993559906,0.0,0.0,9.730523496779952,0.0,0.0805330612765414,0.0,2.1026716827137664,22.875801823630685,0.0,100.0,0.0,0.0,0.0,0.0,26.9
1990,FL,45.70273019718484,0.0,0.1327761294489849,14.176670014915985,16.562081498143993,1.1049990793714857,1.272277961021791,0.0,19.417978904181428,0.0,100.0,0.0,1.630486215731492,3.035540306202268,19.597621804346264,14.4
1990,GA,66.75255808373157,0.0,4.469067131097604,0.8084627502185298,24.14820525125859,9.738403120028543e-07,0.1319134871429706,0.0,0.4864137590391858,0.0,100.0,0.0,2.870218054531941,7.471198672772515,31.619403924031108,21.3
1990,HI,0.0245394296381067,0.0,0.8195200701821503,0.0,0.0,0.0,8.657389161343092,0.1665816048890046,90.03488907064717,0.0,100.0,0.2970806633004739,0.0,9.773989894825716,9.773989894825716,19.2
1990,IA,85.7126457662509,0.0,2.9127255412353925,1.1096537916116844,10.02370283605262,0.0,0.0599710309765119,0.0,0.1813010338728818,0.0,100.0,0.0,0.0,2.9726965722119045,12.996399408264525,22.8
1990,ID,0.4578353656177207,0.0,94.05162784818616,0.5748763733074687,0.0,0.672787166040257,0.0,0.0,0.0102564367137097,0.0,100.0,0.0,4.23261681013468,98.28424465832084,98.28424465832084,11.2
1990,IL,42.48007443957075,0.0,0.1112321287998279,1.097352101730865,55.55756176879875,0.0,0.1196785244173905,0.2948873277178546,0.3389563524140442,0.0,100.0,0.0,0.0002573565505213,0.2311680097677398,55.78872977856648,16.8
1990,IN,95.5711992441197,0.0,0.4348585499118315,1.4502847823043992,0.0,0.0,0.0365983588016839,1.6511502851254418,0.8559087797369431,0.0,100.0,0.0,0.0,0.4714569087135154,0.4714569087135154,37.1
1990,KS,69.38820308653038,0.0,0.0387130477099845,7.321390871987559,23.035015182307184,0.0,0.0,0.0,0.2165461742314733,0.0,100.0,0.0001316372334101,0.0,0.0388446849433946,23.07385986725058,27.7
1990,KY,95.51964964542933,0.0,4.281939048673325,0.0376602385840335,0.0,0.0,0.0,0.0,0.1607510673133273,0.0,100.0,0.0,0.0,4.281939048673325,4.281939048673325,32.6
1990,LA,23.35256637524597,0.0,0.8585452052118057,51.624325857251165,18.56622903649653,1.690719085162837,0.1198525402850927,0.576337368828322,0.3035324498078418,0.0,100.0,0.0,2.907892081710437,3.886289827207335,22.45251886370386,45.4
1990,MA,28.54962161096587,0.0,3.137930860384329,15.40453720203187,12.734215667117825,0.0,3.919807512549731,0.0020848503445441,37.93370633064305,0.0,100.0,0.0,0.0,7.057738372934061,19.791954040051884,13.8
1990,MD,70.8933568282916,0.0,6.932301301731497,4.590885937558236,3.7736113052740734,0.0,1.1189636711479412,1.4721449289452009,10.76907470689903,0.0,100.0,0.0,0.4496613201524189,8.500926293031858,12.274537598305931,14.7
1990,ME,2.8422024463292206,0.0,25.652404419060463,0.3184871153380399,30.482395161574548,0.0,2.262621869013786,0.0,19.322070079707693,0.0,100.0,0.0,19.11981890897625,47.034845197050494,77.51724035862505,15.3
1990,MI,67.0268301824539,0.0,1.6269461112015513,7.833276635536229,21.59759824273773,0.0,0.3106564231724894,0.3407454488911958,0.8612105386605203,0.0,100.0,0.0,1.097307501417878,3.034910035791919,24.632508278529656,19.3
1990,MN,65.4191642069714,0.0,1.9898735037743809,1.2533881756685847,28.184806187900477,0.0,1.125625186090783,0.0,1.0397262378206311,0.0,100.0,0.0006175938654447,0.9867989079083034,4.102915191638912,32.287721379539384,18.0
