State,Total Renewable,Source,Correlation
SC,Total Renewable,Natural Gas,0.538403968
SD,Total Renewable,Natural Gas,0.731310268
TN,Total Renewable,Natural Gas,0.292037953
TX,Total Renewable,Natural Gas,0.798424511
US_TOTAL,Total Renewable,Natural Gas,0.891295129
UT,Total Renewable,Natural Gas,0.711555662
VA,Total Renewable,Natural Gas,0.910342732
VT,Total Renewable,Natural Gas,-0.430246192
WA,Total Renewable,Natural Gas,-0.164093046
WI,Total Renewable,Natural Gas,0.829598707
WV,Total Renewable,Natural Gas,0.764096856
WY,Total Renewable,Natural Gas,0.785293477
AL,Total Renewable,Nuclear,0.048218607
AR,Total Renewable,Nuclear,0.113566854
AZ,Total Renewable,Nuclear,0.602874394
CA,Total Renewable,Nuclear,-0.587242792
CT,Total Renewable,Nuclear,-0.532039347
FL,Total Renewable,Nuclear,0.065780512
GA,Total Renewable,Nuclear,0.152097993
IA,Total Renewable,Nuclear,-0.192276529
IL,Total Renewable,Nuclear,0.588439042
KS,Total Renewable,Nuclear,0.159614579
LA,Total Renewable,Nuclear,0.237591433
MA,Total Renewable,Nuclear,-0.656891546
MD,Total Renewable,Nuclear,0.233070543
ME,Total Renewable,Nuclear,-0.106855174
MI,Total Renewable,Nuclear,0.467727233
MN,Total Renewable,Nuclear,0.482158968
MO,Total Renewable,Nuclear,-0.544739559
MS,Total Renewable,Nuclear,-0.325977701
NC,Total Renewable,Nuclear,0.308637106
NE,Total Renewable,Nuclear,-0.455967323
NH,Total Renewable,Nuclear,0.166536736
NJ,Total Renewable,Nuclear,0.141150287
NY,Total Renewable,Nuclear,0.100515094
OH,Total Renewable,Nuclear,0.574179497
OR,Total Renewable,Nuclear,-0.070588914
PA,Total Renewable,Nuclear,0.725774606
SC,Total Renewable,Nuclear,0.121270428
TN,Total Renewable,Nuclear,0.04967266
TX,Total Renewable,Nuclear,0.417232395
US_TOTAL,Total Renewable,Nuclear,0.446235998
VA,Total Renewable,Nuclear,0.620137433
VT,Total Renewable,Nuclear,-0.517674217
WA,Total Renewable,Nuclear,-0.205293843
WI,Total Renewable,Nuclear,-0.232456993
AK,Total Renewable,Other Biomass,0.78599865
AL,Total Renewable,Other Biomass,0.062735585
AR,Total Renewable,Other Biomass,0.037960477
AZ,Total Renewable,Other Biomass,0.034859238
CA,Total Renewable,Other Biomass,0.41363521
CO,Total Renewable,Other Biomass,0.838799832
CT,Total Renewable,Other Biomass,0.951419766
DC,Total Renewable,Other Biomass,0.991622428
DE,Total Renewable,Other Biomass,0.934677759
FL,Total Renewable,Other Biomass,-0.00456065
GA,Total Renewable,Other Biomass,0.593293013
HI,Total Renewable,Other Biomass,-0.096691594
IA,Total Renewable,Other Biomass,0.775448046
ID,Total Renewable,Other Biomass,0.416807268
IL,Total Renewable,Other Biomass,-0.153108998
IN,Total Renewable,Other Biomass,0.913378921
KS,Total Renewable,Other Biomass,0.83519076
KY,Total Renewable,Other Biomass,0.252410285
LA,Total Renewable,Other Biomass,0.225498835
MA,Total Renewable,Other Biomass,0.255085631
MD,Total Renewable,Other Biomass,-0.081349062
ME,Total Renewable,Other Biomass,-0.439500811
MI,Total Renewable,Other Biomass,0.576146756
MN,Total Renewable,Other Biomass,-0.058771137
MO,Total Renewable,Other Biomass,0.508550475
