Year,Name,State,Source,Percent
1990,Minnesota,MN,Biomass,2.112424094
1990,Minnesota,MN,Total Renewable,4.102915192
1990,Michigan,MI,Coal,67.02683018
1990,Michigan,MI,Hydro,1.626946111
1990,Michigan,MI,Natural Gas,7.833276636
1990,Michigan,MI,Nuclear,21.59759824
1990,Michigan,MI,Petroleum,0.861210539
1990,Michigan,MI,Biomass,1.407963924
1990,Michigan,MI,Total Renewable,3.034910036
1990,Indiana,IN,Coal,95.57119924
1990,Indiana,IN,Hydro,0.43485855
1990,Indiana,IN,Natural Gas,1.450284782
1990,Indiana,IN,Petroleum,0.85590878
1990,Indiana,IN,Biomass,0.036598359
1990,Indiana,IN,Total Renewable,0.471456909
1990,Texas,TX,Coal,42.94699274
1990,Texas,TX,Hydro,0.637032009
1990,Texas,TX,Natural Gas,48.38560222
1990,Texas,TX,Nuclear,5.632646171
1990,Texas,TX,Petroleum,0.649170823
1990,Texas,TX,Solar,0.000136738
1990,Texas,TX,Biomass,0.510230453
1990,Texas,TX,Total Renewable,1.1473992
1990,Georgia,GA,Coal,66.75255808
1990,Georgia,GA,Hydro,4.469067131
1990,Georgia,GA,Natural Gas,0.80846275
1990,Georgia,GA,Nuclear,24.14820525
1990,Georgia,GA,Petroleum,0.486413759
1990,Georgia,GA,Biomass,3.002131542
1990,Georgia,GA,Total Renewable,7.471198673
1990,West Virginia,WV,Coal,97.61605623
1990,West Virginia,WV,Hydro,1.628185095
1990,West Virginia,WV,Natural Gas,0.113230471
1990,West Virginia,WV,Petroleum,0.409450424
1990,West Virginia,WV,Total Renewable,1.628185095
1990,North Carolina,NC,Coal,58.66487494
1990,North Carolina,NC,Hydro,8.029868014
1990,North Carolina,NC,Natural Gas,0.23957982
1990,North Carolina,NC,Nuclear,30.50348547
1990,North Carolina,NC,Petroleum,0.386249087
1990,North Carolina,NC,Biomass,1.724428347
1990,North Carolina,NC,Total Renewable,9.754296361
1990,Wisconsin,WI,Coal,69.43632962
1990,Wisconsin,WI,Hydro,4.216998535
1990,Wisconsin,WI,Natural Gas,0.726841758
1990,Wisconsin,WI,Nuclear,23.50048485
1990,Wisconsin,WI,Petroleum,0.375677819
1990,Wisconsin,WI,Wind,9.21E-05
1990,Wisconsin,WI,Biomass,1.743575318
1990,Wisconsin,WI,Total Renewable,5.960665963
1990,Illinois,IL,Coal,42.48007444
1990,Illinois,IL,Hydro,0.111232129
1990,Illinois,IL,Natural Gas,1.097352102
1990,Illinois,IL,Nuclear,55.55756177
1990,Illinois,IL,Petroleum,0.338956352
1990,Illinois,IL,Biomass,0.119935881
1990,Illinois,IL,Total Renewable,0.23116801
1990,Louisiana,LA,Coal,23.35256638
1990,Louisiana,LA,Hydro,0.858545205
1990,Louisiana,LA,Natural Gas,51.62432586
1990,Louisiana,LA,Nuclear,18.56622904
1990,Louisiana,LA,Petroleum,0.30353245
1990,Louisiana,LA,Biomass,3.027744622
1990,Louisiana,LA,Total Renewable,3.886289827
1990,Ohio,OH,Coal,90.50802705
1990,Ohio,OH,Hydro,0.141736407
1990,Ohio,OH,Natural Gas,0.188766999
1990,Ohio,OH,Nuclear,8.332437168
1990,Ohio,OH,Petroleum,0.292607796
1990,Ohio,OH,Biomass,0.486292731
1990,Ohio,OH,Total Renewable,0.628029138
1990,Arizona,AZ,Coal,50.84184376
1990,Arizona,AZ,Hydro,11.81626295
1990,Arizona,AZ,Natural Gas,3.717922958
1990,Arizona,AZ,Nuclear,32.81229736
1990,Arizona,AZ,Petroleum,0.241925449
1990,Arizona,AZ,Biomass,0.17186652
1990,Arizona,AZ,Total Renewable,11.98812947
1990,South Carolina,SC,Coal,32.80665039
1990,South Carolina,SC,Hydro,4.621523701
1990,South Carolina,SC,Natural Gas,1.103559379
1990,South Carolina,SC,Nuclear,60.08795096
1990,South Carolina,SC,Petroleum,0.241826408
1990,South Carolina,SC,Biomass,1.848083439
1990,South Carolina,SC,Total Renewable,6.469607139
1990,Kansas,KS,Coal,69.38820309
1990,Kansas,KS,Hydro,0.038713048
1990,Kansas,KS,Natural Gas,7.321390872
1990,Kansas,KS,Nuclear,23.03501518
1990,Kansas,KS,Petroleum,0.216546174
1990,Kansas,KS,Wind,0.000131637
1990,Kansas,KS,Total Renewable,0.038844685
1990,Arkansas,AR,Coal,49.12565853
1990,Arkansas,AR,Hydro,9.347034719
1990,Arkansas,AR,Natural Gas,9.152454713
1990,Arkansas,AR,Nuclear,28.85465216
1990,Arkansas,AR,Petroleum,0.204551975
1990,Arkansas,AR,Biomass,3.205743957
1990,Arkansas,AR,Total Renewable,12.55277868
1990,Iowa,IA,Coal,85.71264577
1990,Iowa,IA,Hydro,2.912725541
1990,Iowa,IA,Natural Gas,1.109653792
1990,Iowa,IA,Nuclear,10.02370284
1990,Iowa,IA,Petroleum,0.181301034
1990,Iowa,IA,Biomass,0.059971031
1990,Iowa,IA,Total Renewable,2.972696572
1990,Tennessee,TN,Coal,68.02366773
1990,Tennessee,TN,Hydro,13.14565863
1990,Tennessee,TN,Natural Gas,0.294202696
1990,Tennessee,TN,Nuclear,18.37909233
1990,Tennessee,TN,Petroleum,0.179907208
1990,Tennessee,TN,Biomass,0.540477651
1990,Tennessee,TN,Total Renewable,13.68613628
1990,Alabama,AL,Coal,67.36557199
1990,Alabama,AL,Hydro,13.01472617
1990,Alabama,AL,Natural Gas,1.281464741
1990,Alabama,AL,Nuclear,15.13064565
1990,Alabama,AL,Petroleum,0.1733651
1990,Alabama,AL,Biomass,2.695910227
1990,Alabama,AL,Total Renewable,15.7106364
1990,Oklahoma,OK,Coal,54.49409633
1990,Oklahoma,OK,Hydro,5.80000935
1990,Oklahoma,OK,Natural Gas,38.73641168
1990,Oklahoma,OK,Petroleum,0.163441844
1990,Oklahoma,OK,Biomass,0.575080708
1990,Oklahoma,OK,Total Renewable,6.375090058
1990,Kentucky,KY,Coal,95.51964965
1990,Kentucky,KY,Hydro,4.281939049
1990,Kentucky,KY,Natural Gas,0.037660239
1990,Kentucky,KY,Petroleum,0.160751067
1990,Kentucky,KY,Total Renewable,4.281939049
1990,North Dakota,ND,Coal,93.31589466
1990,North Dakota,ND,Hydro,6.339167394
1990,North Dakota,ND,Natural Gas,0.191021752
1990,North Dakota,ND,Petroleum,0.153916194
1990,North Dakota,ND,Total Renewable,6.339167394
1990,Missouri,MO,Coal,82.21477055
1990,Missouri,MO,Hydro,3.69336222
1990,Missouri,MO,Natural Gas,0.525853611
1990,Missouri,MO,Nuclear,13.47541305
1990,Missouri,MO,Petroleum,0.151691166
1990,Missouri,MO,Total Renewable,3.69336222
1990,South Dakota,SD,Coal,38.46790177
1990,South Dakota,SD,Hydro,61.21226803
1990,South Dakota,SD,Natural Gas,0.193046319
1990,South Dakota,SD,Petroleum,0.126783885
1990,South Dakota,SD,Total Renewable,61.21226803
1990,New Mexico,NM,Coal,89.61396665
1990,New Mexico,NM,Hydro,0.712815912
1990,New Mexico,NM,Natural Gas,9.500581606
1990,New Mexico,NM,Petroleum,0.12361467
1990,New Mexico,NM,Biomass,0.049021166
1990,New Mexico,NM,Total Renewable,0.761837078
1990,Wyoming,WY,Coal,97.33208522
1990,Wyoming,WY,Hydro,1.61254175
1990,Wyoming,WY,Natural Gas,0.670924915
1990,Wyoming,WY,Petroleum,0.123089539
1990,Wyoming,WY,Biomass,0.126178972
1990,Wyoming,WY,Total Renewable,1.738720722
1990,Montana,MT,Coal,58.08586798
1990,Montana,MT,Hydro,41.17138252
1990,Montana,MT,Natural Gas,0.212276158
1990,Montana,MT,Petroleum,0.111341736
1990,Montana,MT,Biomass,0.419131601
1990,Montana,MT,Total Renewable,41.59051412
1990,Colorado,CO,Coal,91.60276104
1990,Colorado,CO,Hydro,4.362370836
1990,Colorado,CO,Natural Gas,3.96364436
1990,Colorado,CO,Petroleum,0.084152308
1990,Colorado,CO,Biomass,0.089068105
1990,Colorado,CO,Total Renewable,4.451438941
1990,Nebraska,NE,Coal,58.52543085
1990,Nebraska,NE,Hydro,5.270013706
1990,Nebraska,NE,Natural Gas,1.424012578
1990,Nebraska,NE,Nuclear,34.72053895
1990,Nebraska,NE,Petroleum,0.060003919
1990,Nebraska,NE,Total Renewable,5.270013706
1990,Oregon,OR,Coal,2.615218431
1990,Oregon,OR,Hydro,81.87122565
1990,Oregon,OR,Natural Gas,1.626546814
1990,Oregon,OR,Nuclear,12.05782487
1990,Oregon,OR,Petroleum,0.055143472
1990,Oregon,OR,Wind,0.001070034
1990,Oregon,OR,Biomass,1.772970729
1990,Oregon,OR,Total Renewable,83.64526641
1990,Vermont,VT,Hydro,26.43304516
1990,Vermont,VT,Natural Gas,1.264129255
1990,Vermont,VT,Nuclear,70.02696303
1990,Vermont,VT,Petroleum,0.049243742
1990,Vermont,VT,Biomass,2.226618808
1990,Vermont,VT,Total Renewable,28.65966397
1990,Washington,WA,Coal,7.240293922
1990,Washington,WA,Hydro,85.69157867
1990,Washington,WA,Natural Gas,0.282211888
1990,Washington,WA,Nuclear,5.625493055
1990,Washington,WA,Petroleum,0.042108704
1990,Washington,WA,Biomass,1.106351562
1990,Washington,WA,Total Renewable,86.79793023
1990,Idaho,ID,Coal,0.457835366
1990,Idaho,ID,Hydro,94.05162785
1990,Idaho,ID,Natural Gas,0.574876373
1990,Idaho,ID,Petroleum,0.010256437
1990,Idaho,ID,Biomass,4.23261681
1990,Idaho,ID,Total Renewable,98.28424466
1991,California,CA,Coal,1.656154798
1991,California,CA,Geothermal,9.301676838
1991,California,CA,Hydro,13.81402311
1991,California,CA,Natural Gas,46.56008675
1991,California,CA,Nuclear,19.84414402
1991,California,CA,Petroleum,1.239476708
1991,California,CA,Solar,0.296551112
1991,California,CA,Wind,1.833625817
1991,California,CA,Biomass,4.143530484
1991,California,CA,Total Renewable,29.38940736
1991,Nevada,NV,Coal,74.16985585
1991,Nevada,NV,Geothermal,4.511211408
1991,Nevada,NV,Hydro,10.71845971
1991,Nevada,NV,Natural Gas,9.494455614
1991,Nevada,NV,Petroleum,1.098911209
1991,Nevada,NV,Total Renewable,15.22967111
1991,Utah,UT,Coal,94.69510592
1991,Utah,UT,Geothermal,0.610508011
1991,Utah,UT,Hydro,2.055224978
1991,Utah,UT,Natural Gas,1.802877122
1991,Utah,UT,Petroleum,0.168210051
1991,Utah,UT,Total Renewable,2.66573299
1991,US_TOTAL,US_TOTAL,Coal,51.74778206
1991,US_TOTAL,US_TOTAL,Geothermal,0.519436847
1991,US_TOTAL,US_TOTAL,Hydro,9.401857435
1991,US_TOTAL,US_TOTAL,Natural Gas,12.41307682
1991,US_TOTAL,US_TOTAL,Nuclear,19.92860008
1991,US_TOTAL,US_TOTAL,Petroleum,3.895881854
1991,US_TOTAL,US_TOTAL,Solar,0.015347946
1991,US_TOTAL,US_TOTAL,Wind,0.096003386
1991,US_TOTAL,US_TOTAL,Biomass,1.606809875
1991,US_TOTAL,US_TOTAL,Total Renewable,11.63945549
1991,District of Columbia,DC,Petroleum,100
1991,Hawaii,HI,Coal,0.087461731
1991,Hawaii,HI,Hydro,0.815650732
1991,Hawaii,HI,Petroleum,88.63891415
1991,Hawaii,HI,Wind,0.409284594
1991,Hawaii,HI,Biomass,9.457196089
1991,Hawaii,HI,Total Renewable,10.68213141
1991,Massachusetts,MA,Coal,29.21904941
1991,Massachusetts,MA,Hydro,2.718027013
1991,Massachusetts,MA,Natural Gas,15.43123903
1991,Massachusetts,MA,Nuclear,10.76702463
1991,Massachusetts,MA,Petroleum,39.39519097
1991,Massachusetts,MA,Biomass,3.985030055
1991,Massachusetts,MA,Total Renewable,6.703057068
1991,Connecticut,CT,Coal,13.43898594
1991,Connecticut,CT,Hydro,1.602790779
1991,Connecticut,CT,Natural Gas,5.813836549
1991,Connecticut,CT,Nuclear,45.28295431
1991,Connecticut,CT,Petroleum,29.56460251
1991,Connecticut,CT,Biomass,4.300195732
1991,Connecticut,CT,Total Renewable,5.902986511
1991,Delaware,DE,Coal,61.50392721
1991,Delaware,DE,Natural Gas,14.16454839
1991,Delaware,DE,Petroleum,24.25095673
1991,Florida,FL,Coal,44.48067476
1991,Florida,FL,Hydro,0.188690466
1991,Florida,FL,Natural Gas,14.17248548
1991,Florida,FL,Nuclear,14.70955102
1991,Florida,FL,Petroleum,21.94856241
