,Year,State,Source,Percentage
131,1990,DE,Percentage Wind,0.0
132,1990,DE,Percentage Wood Fuels,0.0
133,1990,DE,Percentage Total Renewable,0.0
134,1990,DE,Percentage Renewable Including Nuclear,0.0
135,1990,FL,Percentage Coal,45.70273019718484
136,1990,FL,Percentage Geothermal,0.0
137,1990,FL,Percentage Hydro,0.13277612944898493
138,1990,FL,Percentage Natural Gas,14.176670014915985
139,1990,FL,Percentage Nuclear,16.562081498143993
140,1990,FL,Percentage Other,1.1049990793714857
141,1990,FL,Percentage Other Biomass,1.272277961021791
142,1990,FL,Percentage Other Gases,0.0
143,1990,FL,Percentage Petroleum,19.417978904181428
144,1990,FL,Percentage Solar,0.0
145,1990,FL,Percentage Total,100.0
146,1990,FL,Percentage Wind,0.0
147,1990,FL,Percentage Wood Fuels,1.630486215731492
148,1990,FL,Percentage Total Renewable,3.035540306202268
149,1990,FL,Percentage Renewable Including Nuclear,19.597621804346264
150,1990,GA,Percentage Coal,66.75255808373157
151,1990,GA,Percentage Geothermal,0.0
152,1990,GA,Percentage Hydro,4.469067131097604
153,1990,GA,Percentage Natural Gas,0.8084627502185298
154,1990,GA,Percentage Nuclear,24.14820525125859
155,1990,GA,Percentage Other,9.738403120028545e-07
156,1990,GA,Percentage Other Biomass,0.13191348714297066
157,1990,GA,Percentage Other Gases,0.0
158,1990,GA,Percentage Petroleum,0.4864137590391858
159,1990,GA,Percentage Solar,0.0
160,1990,GA,Percentage Total,100.0
161,1990,GA,Percentage Wind,0.0
162,1990,GA,Percentage Wood Fuels,2.870218054531941
163,1990,GA,Percentage Total Renewable,7.471198672772515
164,1990,GA,Percentage Renewable Including Nuclear,31.619403924031108
165,1990,HI,Percentage Coal,0.024539429638106798
166,1990,HI,Percentage Geothermal,0.0
167,1990,HI,Percentage Hydro,0.8195200701821503
168,1990,HI,Percentage Natural Gas,0.0
169,1990,HI,Percentage Nuclear,0.0
170,1990,HI,Percentage Other,0.0
171,1990,HI,Percentage Other Biomass,8.657389161343092
172,1990,HI,Percentage Other Gases,0.16658160488900467
173,1990,HI,Percentage Petroleum,90.03488907064717
174,1990,HI,Percentage Solar,0.0
175,1990,HI,Percentage Total,100.0
176,1990,HI,Percentage Wind,0.29708066330047395
177,1990,HI,Percentage Wood Fuels,0.0
178,1990,HI,Percentage Total Renewable,9.773989894825716
179,1990,HI,Percentage Renewable Including Nuclear,9.773989894825716
180,1990,IA,Percentage Coal,85.7126457662509
181,1990,IA,Percentage Geothermal,0.0
182,1990,IA,Percentage Hydro,2.9127255412353925
183,1990,IA,Percentage Natural Gas,1.1096537916116844
184,1990,IA,Percentage Nuclear,10.023702836052621
185,1990,IA,Percentage Other,0.0
186,1990,IA,Percentage Other Biomass,0.05997103097651198
187,1990,IA,Percentage Other Gases,0.0
188,1990,IA,Percentage Petroleum,0.1813010338728818
189,1990,IA,Percentage Solar,0.0
190,1990,IA,Percentage Total,100.0
191,1990,IA,Percentage Wind,0.0
192,1990,IA,Percentage Wood Fuels,0.0
193,1990,IA,Percentage Total Renewable,2.9726965722119045
194,1990,IA,Percentage Renewable Including Nuclear,12.996399408264525
195,1990,ID,Percentage Coal,0.45783536561772076
196,1990,ID,Percentage Geothermal,0.0
197,1990,ID,Percentage Hydro,94.05162784818616
198,1990,ID,Percentage Natural Gas,0.5748763733074687
199,1990,ID,Percentage Nuclear,0.0
200,1990,ID,Percentage Other,0.672787166040257
201,1990,ID,Percentage Other Biomass,0.0
202,1990,ID,Percentage Other Gases,0.0
203,1990,ID,Percentage Petroleum,0.01025643671370973
204,1990,ID,Percentage Solar,0.0
205,1990,ID,Percentage Total,100.0
206,1990,ID,Percentage Wind,0.0
207,1990,ID,Percentage Wood Fuels,4.23261681013468
208,1990,ID,Percentage Total Renewable,98.28424465832084
209,1990,ID,Percentage Renewable Including Nuclear,98.28424465832084
210,1990,IL,Percentage Coal,42.48007443957075
211,1990,IL,Percentage Geothermal,0.0
212,1990,IL,Percentage Hydro,0.11123212879982791
213,1990,IL,Percentage Natural Gas,1.097352101730865
214,1990,IL,Percentage Nuclear,55.55756176879875
215,1990,IL,Percentage Other,0.0
216,1990,IL,Percentage Other Biomass,0.11967852441739056
217,1990,IL,Percentage Other Gases,0.2948873277178546
218,1990,IL,Percentage Petroleum,0.33895635241404426
219,1990,IL,Percentage Solar,0.0
220,1990,IL,Percentage Total,100.0
221,1990,IL,Percentage Wind,0.0
222,1990,IL,Percentage Wood Fuels,0.00025735655052139776
223,1990,IL,Percentage Total Renewable,0.23116800976773988
224,1990,IL,Percentage Renewable Including Nuclear,55.788729778566484
225,1990,IN,Percentage Coal,95.5711992441197
226,1990,IN,Percentage Geothermal,0.0
227,1990,IN,Percentage Hydro,0.4348585499118315
228,1990,IN,Percentage Natural Gas,1.4502847823043992
229,1990,IN,Percentage Nuclear,0.0
230,1990,IN,Percentage Other,0.0
231,1990,IN,Percentage Other Biomass,0.036598358801683925
232,1990,IN,Percentage Other Gases,1.6511502851254418
233,1990,IN,Percentage Petroleum,0.8559087797369431
234,1990,IN,Percentage Solar,0.0
235,1990,IN,Percentage Total,100.0
236,1990,IN,Percentage Wind,0.0
237,1990,IN,Percentage Wood Fuels,0.0
238,1990,IN,Percentage Total Renewable,0.4714569087135154
239,1990,IN,Percentage Renewable Including Nuclear,0.4714569087135154
240,1990,KS,Percentage Coal,69.38820308653038
241,1990,KS,Percentage Geothermal,0.0
242,1990,KS,Percentage Hydro,0.03871304770998457
243,1990,KS,Percentage Natural Gas,7.321390871987559
244,1990,KS,Percentage Nuclear,23.035015182307184
