Year,Name,State,Percentage Coal,Percentage Geothermal,Percentage Hydro,Percentage Natural Gas,Percentage Nuclear,Percentage Other,Percentage Other Biomass,Percentage Other Gases,Percentage Petroleum,Percentage Solar,Percentage Total,Percentage Wind,Percentage Wood Fuels,Percentage Total Renewable,Percentage Renewable Including Nuclear,co2 per cap
1990,Oklahoma,OK,54.49409633,,5.80000935,38.73641168,,,0.003780868,0.188979699,0.163441844,,100,,0.57129984,6.375090058,6.375090058,27.9
1990,Oregon,OR,2.615218431,,81.87122565,1.626546814,12.05782487,,0.179636655,,0.055143472,,100,0.001070034,1.593334074,83.64526641,95.70309128,10.8
1990,Pennsylvania,PA,60.74202473,,1.633719342,1.61361381,32.90397537,0.000416801,0.170882213,0.479209733,2.650287125,,100,,0.306515688,2.111117242,35.01509261,22.2
1990,Rhode Island,RI,,,0.898207919,79.1953697,,,3.138760751,,16.76766163,,100,,,4.03696867,4.03696867,8.8
1990,South Carolina,SC,32.80665039,,4.621523701,1.103559379,60.08795096,,0.069448985,,0.241826408,,100,,1.778634454,6.469607139,66.5575581,17.4
1990,South Dakota,SD,38.46790177,,61.21226803,0.193046319,,,,,0.126783885,,100,,,61.21226803,61.21226803,16.9
1990,Tennessee,TN,68.02366773,,13.14565863,0.294202696,18.37909233,0.059064723,0.058958406,0.005525833,0.179907208,,100,,0.481519245,13.68613628,32.06522861,21.5
1990,Texas,TX,42.94699274,,0.637032009,48.38560222,5.632646171,0.173579924,0.118316676,1.064608924,0.649170823,0.000136738,100,,0.391913777,1.1473992,6.780045371,33.4
1990,US_TOTAL,US_TOTAL,52.4720895,0.508069396,9.640635017,12.27078147,18.98928458,0.119021346,0.436508647,0.341784731,4.162850221,0.012083867,100,0.091795869,1.070564104,11.7596569,30.74894148,20.1
1990,Utah,UT,96.80436147,0.466242321,1.561387416,0.449852825,,,,0.558922665,0.159233307,,100,,,2.027629736,2.027629736,31.5
1990,Virginia,VA,45.46779879,,2.491225154,2.158890329,45.31608031,,1.181014746,,2.736191059,6.47e-05,100,,2.234728645,5.907033228,51.22311353,15.3
1990,Vermont,VT,,,26.43304516,1.264129255,70.02696303,,,,0.049243742,,100,,2.226618808,28.65966397,98.686627,9.7
1990,Washington,WA,7.240293922,,85.69157867,0.282211888,5.625493055,0.003673894,0.006367103,0.008288305,0.042108704,,100,,1.099984459,86.79793023,92.42342329,14.6
1990,Wisconsin,WI,69.43632962,,4.216998535,0.726841758,23.50048485,,0.313530634,,0.375677819,,100,9.21e-05,1.430044684,5.960665963,29.46115081,17.5
1990,West Virginia,WV,97.61605623,,1.628185095,0.113230471,,0.014089847,,0.218987929,0.409450424,,100,,,1.628185095,1.628185095,57.7
1990,Wyoming,WY,97.33208522,,1.61254175,0.670924915,,0.113561075,,0.02161853,0.123089539,,100,,0.126178972,1.738720722,1.738720722,126.0
1991,Alaska,AK,9.657339715,,16.62600365,61.5862881,,,,,9.525814182,,100,,2.604554357,19.23055801,19.23055801,60.4
1991,Alabama,AL,65.57615015,,12.11637966,1.376896778,17.87953909,,0.035286852,0.330236725,0.189019489,,100,,2.49649125,14.64815777,32.52769686,27.8
1991,Arkansas,AR,48.32499591,,8.725356597,8.179051052,31.14736907,,0.040867138,,0.167908761,,100,,3.379758809,12.14598254,43.29335161,20.9
1991,Arizona,AZ,48.44719064,,10.02274452,3.312951617,37.34348715,,,,0.174694261,,100,,0.158904682,10.18164921,47.52513636,16.9
1991,California,CA,1.656154798,9.301676838,13.81402311,46.56008675,19.84414402,0.003216153,1.554851628,1.244688487,1.239476708,0.296551112,100,1.833625817,2.588678856,29.38940736,49.23355139,11.4
1991,Colorado,CO,90.13791492,,5.551366234,4.067500633,,,0.182020731,,0.117290011,,100,,,5.733386965,5.733386965,20.0
1991,Connecticut,CT,13.43898594,,1.602790779,5.813836549,45.28295431,,4.300195732,0.009786782,29.56460251,,100,,,5.902986511,51.18594083,12.0
1991,District of Columbia,DC,,,,,,,,,100.0,,100,,,,,7.3
1991,Delaware,DE,61.50392721,,,14.16454839,,0.080567666,,,24.25095673,,100,,,,,26.2
1991,Florida,FL,44.48067476,,0.188690466,14.17248548,14.70955102,1.375401334,1.620926459,0.007382187,21.94856241,,100,,1.496325881,3.305942806,18.01549383,14.1
1991,Georgia,GA,63.46270665,,4.400457754,0.842050156,27.05123846,0.00044815,0.0684058,,0.562560452,,100,,3.162640093,7.631503647,34.68274211,19.7
1991,Hawaii,HI,0.087461731,,0.815650732,,,,9.457196089,0.591492704,88.63891415,,100,0.409284594,,10.68213141,10.68213141,17.1
1991,Iowa,IA,82.92082065,,2.792596446,1.202447414,12.85121329,,0.078303932,,0.154618268,,100,,,2.870900378,15.72211367,23.4
1991,Idaho,ID,0.17350367,,92.75249111,1.137420019,,0.657020927,0.103769173,,0.003828769,,100,,5.171966329,98.02822662,98.02822662,11.5
1991,Illinois,IL,42.2647836,,0.103210651,1.332472637,55.16519081,,0.139747392,0.295822635,0.698610306,,100,,0.000161966,0.24312001,55.40831082,16.6
1991,Indiana,IN,95.56382195,,0.391298212,1.426485066,,,0.032470659,2.066855414,0.519068697,,100,,,0.423768872,0.423768872,36.0
1991,Kansas,KS,71.81879984,,0.032383572,10.00752266,17.95427398,,,,0.186891239,,100,0.000128713,,0.032512285,17.98678626,27.1
1991,Kentucky,KY,94.97884123,,4.844443515,0.028966263,,,,,0.147748997,,100,,,4.844443515,4.844443515,32.2
1991,Louisiana,LA,25.30051708,,0.875641482,48.50216732,18.61503894,2.111506119,0.12225918,1.274597406,0.074373746,,100,,3.123898724,4.121799386,22.73683833,44.8
1991,Massachusetts,MA,29.21904941,,2.718027013,15.43123903,10.76702463,,3.985030055,0.001950278,39.39519097,,100,,,6.703057068,17.4700817,13.6
1991,Maryland,MD,57.3027966,,3.531382139,3.807852794,22.67477931,,0.844525808,1.201238095,10.23441789,,100,,0.403007371,4.778915318,27.45369463,14.2
1991,Maine,ME,4.946501781,,22.00794902,0.283088004,36.1167159,,2.216337904,,12.40839392,,100,,22.02101347,46.24530039,82.36201629,14.9
1991,Michigan,MI,63.10568679,,1.652858094,8.019653188,25.49697332,0.026629081,0.476492677,0.205541476,0.621417869,,100,,1.145643039,3.274993809,28.77196713,19.0
1991,Minnesota,MN,63.5710222,,2.461524002,1.908140846,28.62200588,,1.043885531,,1.385397029,,100,0.000562516,1.007462005,4.513434053,33.13543993,17.7
1991,Missouri,MO,79.72205116,,1.851003012,1.807368255,16.50172173,,,,0.197016188,,100,,,1.851003012,18.35272474,20.0
1991,Mississippi,MS,33.96991709,,,22.10078783,35.29415516,,,,1.531065731,,100,,7.104074196,7.104074196,42.39822935,18.5
1991,Montana,MT,57.55064205,,41.92184694,0.113276477,,,,,0.068833041,,100,,0.345401495,42.26724843,42.26724843,36.0
1991,North Carolina,NC,56.80226762,,6.545568012,0.431782684,33.91589223,0.25390241,0.049373829,,0.308569649,,100,,1.450482664,8.045424505,41.96131673,16.3
1991,North Dakota,ND,93.31481952,,6.346597085,0.003396058,,,,0.144986399,0.190200941,,100,,,6.346597085,6.346597085,72.1
1991,Nebraska,NE,59.09140414,,4.541979301,1.318793147,34.9893069,,,,0.058516508,,100,,,4.541979301,39.5312862,21.1
1991,New Hampshire,NH,22.27675998,,11.14723288,-7.03e-06,47.73003474,,0.99450537,,11.19567416,,100,,6.6557999,18.79753815,66.52757289,12.9
